Name,Genre,Description,Year,Runtime
The Jerk,Comedy            ,"A simpleminded, sheltered country boy suddenly decides to leave his family home to experience life in the big city, where his naivete is both his best friend and his worst enemy.",1979,94 min
The Wanderers,"Crime, Drama, Romance            ","The Wanderers is a teenage, Italian gang in Bronx, NYC, 1963. They have their confrontations with other gangs. Drugs and weapons are uncool. Adult life awaits them.",1979,112 min
The Warriors,"Action, Crime, Thriller            ",A street gang known as The Warriors must fight their way from the Bronx to their home turf on Coney Island when they are falsely accused of assassinating a respected gang leader.,1979,93 min
Winter Kills,"Comedy, Drama, Mystery            ",The younger brother of an assassinated US President is led down a rabbit hole of conspiracies and dead ends after learning of a man claiming to be the real shooter.,1979,97 min
Airplane!,Comedy            ,A man afraid to fly must ensure that a plane lands safely after the pilots become sick.,1980,88 min
Dressed to Kill,"Crime, Drama, Mystery            ","A mysterious blonde woman kills one of a psychiatrist's patients, and then goes after the high-class call girl who witnessed the murder.",1980,104 min
Flash Gordon,"Action, Adventure, Sci-Fi            ",A football player and his friends travel to the planet Mongo and find themselves fighting the tyranny of Ming the Merciless to save Earth.,1980,111 min
Raging Bull,"Biography, Drama, Sport            ","The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",1980,129 min
The Empire Strikes Back,"Action, Adventure, Fantasy            ","After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",1980,124 min
Stardust Memories,"Comedy, Drama            ","While attending a retrospective of his work, a filmmaker recalls his life and his loves: the inspirations for his films.",1980,89 min
Superman II,"Action, Adventure, Sci-Fi            ","Superman agrees to sacrifice his powers to start a relationship with Lois Lane, unaware that three Kryptonian criminals he inadvertently released are conquering Earth.",1980,127 min
The Blues Brothers,"Action, Adventure, Comedy            ","Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago.",1980,133 min
The Changeling,"Horror, Mystery            ","After the death of his wife and daughter in a car crash, a music professor staying at a long-vacant Seattle mansion is dragged into a decades-old mystery by an inexplicable presence in the mansion's attic.",1980,107 min
The Elephant Man,"Biography, Drama            ","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",1980,124 min
The Fog,"Horror, Thriller            ",An unearthly fog rolls into a small coastal town exactly 100 years after a ship mysteriously sank in its waters.,1980,89 min
The Long Good Friday,"Crime, Drama, Mystery            ","An up-and-coming gangster is tested by the insurgence of an unknown, very powerful threat.",1980,114 min
The Ninth Configuration,"Comedy, Drama, Horror            ",A former marine arrives at a mental asylum housed in a remote castle to run it. There he attempts to rehabilitate the patients by letting them act out their craziest fantasies and desires.,1980,118 min
The Shining,"Drama, Horror            ","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",1980,146 min
The Stunt Man,"Action, Comedy, Drama            ","A fugitive stumbles onto a movie set just when they need a new stunt man, takes the job as a way to hide out and falls for the leading lady while facing off with his manipulative director.",1980,131 min
An American Werewolf in London,"Comedy, Horror            ",Two American college students on a walking tour of Britain are attacked by a werewolf that none of the locals will admit exists.,1981,97 min
Blow Out,"Crime, Drama, Mystery            ",A movie sound recordist accidentally records the evidence that proves that a car accident was actually murder and consequently finds himself in danger.,1981,108 min
Body Heat,"Crime, Drama, Romance            ","In the midst of a searing Florida heat wave, a woman persuades her lover, a small-town lawyer, to murder her rich husband.",1981,113 min
Cutter's Way,"Crime, Drama, Mystery            ","Richard spots a man dumping a body, and decides to expose the man he thinks is the culprit with his friend Alex Cutter.",1981,109 min
Dead & Buried,"Horror, Mystery            ","A suspense horror film set in a small coastal town where, after a series of gory murders commited by mobs of townspeople against visiting tourists, the corpses begin to come back to life.",1981,94 min
Diva,"Crime, Music, Thriller            ","Two tapes, two Parisian mob killers, one corrupt policeman, an opera fan, a teenage thief, and the coolest philosopher ever filmed all twist their way through an intricate and stylish French-language thriller.",1981,117 min
Escape from New York,"Action, Adventure, Sci-Fi            ","In 1997, when the U.S. president crashes into Manhattan, now a giant maximum security prison, a convicted bank robber is sent in to rescue him.",1981,99 min
Gregory's Girl,"Comedy, Drama, Romance            ",Gregory is a normal teen who is infatuated with a classmate. He must work to win her affection.,1980,91 min
Looker,"Drama, Sci-Fi, Thriller            ","Three of four models, who had plastic surgery done by Larry after a computed list, are dead. Neither the cops nor Larry believe they're suicides. Larry investigates and stays with the fourth model. Who's behind the lists and murders?",1981,93 min
Mad Max 2,"Action, Adventure, Sci-Fi            ","In the post-apocalyptic Australian wasteland, a cynical drifter agrees to help a small, gasoline-rich community escape a horde of bandits.",1981,96 min
Modern Romance,"Comedy, Romance            ",Albert Brooks directs himself as a successful film editor with far too many issues that affects the relationship between him and his remarkably patient girlfriend.,1981,93 min
Ms .45,"Crime, Drama, Thriller            ","A timid and mute seamstress goes insane after being attacked and raped twice in one day, in which she takes to the streets of New York City after dark and randomly shoots men with a .45 caliber pistol.",1981,80 min
Raiders of the Lost Ark,"Action, Adventure            ","Archaeology professor Indiana Jones ventures to seize a biblical artefact known as the Ark of the Covenant. While doing so, he puts up a fight against Renee and a troop of Nazis.",1981,115 min
Roadgames,"Horror, Mystery, Thriller            ","A laid-back American truck driver in south Australia starts to suspect a man driving a green van of killing young women along his route, and proceeds to play a cat-and-mouse game in order to catch him red-handed.",1981,101 min
Sharky's Machine,"Action, Crime, Drama            ",Tom Sharky is demoted to vice after a bust goes terribly wrong. He and his team stumble across a mob murder tied to prostitution and government.,1981,122 min
Southern Comfort,"Action, Thriller            ","During a routine exercise, a team of National Guards are threatened by angry and violent locals.",1981,106 min
...E tu vivrai nel terrore! L'aldilà,Horror            ,"A young woman inherits an old hotel in Louisiana where, following a series of supernatural ""accidents"", she learns that the building was built over one of the entrances to Hell.",1981,87 min
The Evil Dead,Horror            ,"Five friends travel to a cabin in the woods, where they unknowingly release flesh-possessing demons.",1981,85 min
The Howling,Horror            ,"After a bizarre and near deadly encounter with a serial killer, a television newswoman is sent to a remote mountain resort whose residents may not be what they seem.",1981,91 min
Thief,"Action, Crime, Drama            ",An ace safe cracker wants to do one last big heist for the mob before going straight.,1981,123 min
Time Bandits,"Adventure, Comedy, Fantasy            ","A young boy accidentally joins a band of time travelling dwarves, as they jump from era to era looking for treasure to steal.",1981,116 min
Venom,"Horror, Thriller            ",Terrorists in the process of kidnapping a child get trapped in a house with an extremely deadly snake.,1981,93 min
48 Hrs.,"Action, Comedy, Crime            ",A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him in order to track down a killer.,1982,96 min
Blade Runner,"Action, Drama, Sci-Fi            ",A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,1982,117 min
Creepshow,"Comedy, Fantasy, Horror            ",An anthology which tells five terrifying tales inspired by the E.C. horror comic books of the 1950s.,1982,120 min
Diner,"Comedy, Drama            ",A group of college-age buddies struggle with their imminent passage into adulthood in 1959 Baltimore.,1982,110 min
E.T. the Extra-Terrestrial,"Adventure, Family, Sci-Fi            ",A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.,1982,115 min
Eating Raoul,"Comedy, Crime            ","A relatively boring Los Angeles couple discovers a bizarre, if not murderous, way to get funding for opening a restaurant.",1982,90 min
Fitzcarraldo,"Adventure, Drama            ","The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle.",1982,158 min
Koyaanisqatsi,"Documentary, Music            ","A collection of expertly photographed phenomena with no conventional plot. The footage focuses on nature, humanity, and the relationship between them.",1982,86 min
Poltergeist,"Horror, Thriller            ",A family's home is haunted by a host of demonic ghosts.,1982,114 min
Star Trek II: The Wrath of Khan,"Action, Adventure, Sci-Fi            ","With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.",1982,113 min
Tenebre,"Horror, Mystery, Thriller            ",An American writer in Rome is stalked and harassed by a serial killer who is murdering everyone associated with his work on his latest book.,1982,101 min
The King of Comedy,"Comedy, Crime, Drama            ","Rupert Pupkin is a passionate yet unsuccessful comic who craves nothing more than to be in the spotlight and to achieve this, he stalks and kidnaps his idol to take the spotlight for himself.",1982,109 min
The Thing,"Horror, Mystery, Sci-Fi            ",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,1982,109 min
The Verdict,Drama            ,"An outcast, alcoholic Boston lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.",1982,129 min
The World According to Garp,"Comedy, Drama            ","A struggling young writer finds his life and work dominated by his unfaithful wife and his radical feminist mother, whose best-selling manifesto turns her into a cultural icon.",1982,136 min
Tootsie,"Comedy, Drama, Romance            ","Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital soap.",1982,116 min
Vice Squad,"Action, Crime, Drama            ","A single mother prostitute, who goes by the name Princess, finds herself forced to work undercover for the police in order to apprehend a homicidal, misogynistic pimp named Ramrod, who will do anything not to get arrested.",1982,97 min
Xtro,"Horror, Sci-Fi            ",An alien creature impregnates a woman who gives birth to a man who was abducted by aliens three years ago. The man reconnects with his wife and son for a sinister purpose.,1982,86 min
Breathless,"Action, Drama, Romance            ","When Jesse Lujack steals a car in Las Vegas and drives down to LA, his criminal ways only escalate - but when will it end?",1983,100 min
Christine,"Horror, Thriller            ",A nerdish boy buys a strange car with an evil mind of its own and his nature starts to change to reflect it.,1983,110 min
Local Hero,"Comedy, Drama            ","An American oil company has plans for a new refinery and sends someone to Scotland to buy up an entire village, but things don't go as expected.",1983,111 min
'A' gai wak,"Action, Comedy            ","Fighting against pirates at the turn of the 20th century, the Hong Kong navy are failing miserably. It's up to Sergeant Lung (Jackie Chan) to take matters into his own hands.",1983,105 min
Risky Business,"Comedy, Crime, Drama            ","A Chicago teenager is looking for fun at home while his parents are away, but the situation quickly gets out of hand.",1983,99 min
Rumble Fish,"Crime, Drama, Romance            ","Absent-minded street thug Rusty James struggles to live up to his legendary older brother's reputation, and longs for the days of gang warfare.",1983,94 min
Scarface,"Crime, Drama            ","In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",1983,170 min
The Big Chill,"Comedy, Drama            ",A group of seven former college friends gather for a weekend reunion at a South Carolina vacation home after the funeral of another of their college friends.,1983,105 min
The Dead Zone,"Drama, Horror, Sci-Fi            ",A man awakens from a coma to discover he has a psychic ability.,1983,103 min
De vierde man,"Drama, Mystery, Thriller            ",A man who has been having visions of an impending danger begins an affair with a woman who may lead him to his doom.,1983,102 min
The Hunger,"Drama, Horror            ","A love triangle develops between a beautiful yet dangerous vampire (Catherine Deneuve), her cellist companion (David Bowie), and a gerontologist (Susan Sarandon).",1983,97 min
The Man with Two Brains,"Comedy, Romance, Sci-Fi            ","A brain surgeon marries a femme fatale, causing his life to turn upside down. Things go more awry when he falls in love with a talking brain.",1983,93 min
Trading Places,Comedy            ,A snobbish investor and a wily street con artist find their positions reversed as part of a bet by two callous millionaires.,1983,116 min
Twilight Zone: The Movie,"Horror, Sci-Fi            ","Four horror and science fiction segments, directed by four famous directors, each of them being a new version of a classic story from Rod Serling's landmark television series.",1983,101 min
A Nightmare on Elm Street,Horror            ,"Teenager Nancy Thompson must uncover the dark truth concealed by her parents after she and her friends become targets of the spirit of a serial killer with a bladed glove in their dreams, in which if they die, it kills them in real life.",1984,91 min
Birdy,"Drama, War            ",After two friends return home from the Vietnam War one becomes mentally unstable and obsesses with becoming a bird.,1984,120 min
Blood Simple,"Crime, Drama, Thriller            ","The owner of a seedy small-town Texas bar discovers that one of his employees is having an affair with his wife. A chaotic chain of misunderstandings, lies and mischief ensues after he devises a plot to have them murdered.",1984,99 min
Body Double,"Crime, Drama, Mystery            ",A young actor's obsession with spying on a beautiful woman who lives nearby leads to a baffling series of events with drastic consequences.,1984,114 min
Broadway Danny Rose,Comedy            ,"In his attempts to reconcile a lounge singer with his mistress, a hapless talent agent is mistaken as her lover by a jealous gangster.",1984,84 min
Ghostbusters,"Action, Comedy, Fantasy            ","Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.",1984,105 min
Gremlins,"Comedy, Fantasy, Horror            ",A young man inadvertently breaks three important rules concerning his new pet and unleashes a horde of malevolently mischievous monsters on a small town.,1984,106 min
Indiana Jones and the Temple of Doom,"Action, Adventure            ","A skirmish in Shanghai puts archaeologist Indiana Jones, his partner Short Round and singer Willie Scott crossing paths with an Indian village desperate to reclaim a rock stolen by a secret cult beneath the catacombs of an ancient palace.",1984,118 min
Meantime,"Comedy, Drama            ","When one brother gets a job from their wealthy aunt, the other becomes increasingly jealous.",1983 TV Movie,102 min
"Paris, Texas",Drama            ,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",1984,145 min
Repo Man,"Action, Comedy, Crime            ","A young punk recruited by a car repossession agency finds himself in pursuit of a Chevrolet Malibu that is wanted for a $20,000 bounty - and has something otherworldly stashed in its trunk.",1984,92 min
Stop Making Sense,"Documentary, Music            ",An innovative concert movie for the rock group Talking Heads.,1984,88 min
Streets of Fire,"Action, Crime, Drama            ","A mercenary is hired to rescue his ex-girlfriend, a singer who has been kidnapped by a motorcycle gang.",1984,93 min
The Company of Wolves,"Drama, Fantasy, Horror            ","A teenage girl in a country manor falls asleep while reading a magazine, and has a disturbing dream involving wolves prowling the woods below her bedroom window.",1984,95 min
The Hit,"Crime, Drama, Thriller            ","Ten years after ratting on his old mobster friends in exchange for personal immunity, two hit men drive a hardened criminal to Paris for his execution. However, while on the way, whatever can go wrong, does go wrong.",1984,98 min
The Terminator,"Action, Sci-Fi            ","A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",1984,107 min
This Is Spinal Tap,"Comedy, Music            ","Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.",1984,82 min
Threads,"Drama, Sci-Fi, Thriller            ","The effects of a nuclear holocaust on the working class city of Sheffield, England and the eventual long-term effects of nuclear war on civilization.",1984 TV Movie,112 min
Top Secret!,"Comedy, Crime, Music            ",An American rock and roll singer becomes involved in a Resistance plot to rescue a scientist imprisoned in East Germany.,1984,90 min
Kuai can che,"Action, Comedy, Crime            ","Two Chinese friends, who operate a food truck in Barcelona, Spain, use their martial arts expertise to help their private investigator friend protect the pickpocket Sylvia, who's been targeted by a ruthless gang.",1984,108 min
After Hours,"Comedy, Crime, Drama            ",An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho he met that evening at a coffee shop.,I 1985,97 min
Back to the Future,"Adventure, Comedy, Sci-Fi            ","Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",1985,116 min
Brazil,"Drama, Sci-Fi            ",A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,1985,132 min
Crimewave,"Comedy, Crime, Horror            ","A pair of whacked-out cartoon-like exterminator/hitmen kill the owner of a burglar-alarm company, and stalk the partner who hired them, his wife, and a nerd framed for the murder, who tells the story in flashback from the electric chair.",1985,86 min
Day of the Dead,"Horror, Thriller            ","As the world is overrun by zombies, a small group of scientists and military personnel dwelling in an underground bunker in Florida must determine whether they should educate, eliminate or escape the undead horde.",1985,101 min
Into the Night,"Action, Comedy, Crime            ","After discovering that his wife is cheating on him, an insomniac aerospace engineer accidentally meets, and tries to help, a beautiful model on the run from some extremely dangerous people.",1985,115 min
Lost in America,Comedy            ,"A husband and wife in their 30s decide to quit their jobs, live as free spirits and cruise America in a Winnebago.",1985,91 min
Pee-wee's Big Adventure,"Adventure, Comedy, Family            ","When eccentric man-child Pee-wee Herman gets his beloved bike stolen in broad daylight, he sets out across the U.S. on the adventure of his life.",1985,91 min
Ging chaat goo si,"Action, Comedy, Crime            ",A virtuous Hong Kong Police Officer must clear his good name when the drug lord he is after frames him for the murder of a dirty cop.,1985,100 min
Re-Animator,"Comedy, Horror, Sci-Fi            ","After an odd new medical student arrives on campus, a dedicated local and his girlfriend become involved in bizarre experiments centering around the re-animation of dead tissue.",1985,84 min
The Breakfast Club,"Comedy, Drama            ",Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.,1985,97 min
To Live and Die in L.A.,"Action, Crime, Drama            ",A fearless Secret Service agent will stop at nothing to bring down the counterfeiter who killed his partner.,1985,116 min
Witness,"Drama, Romance, Thriller            ","When a young Amish boy is sole witness to a murder while visiting Philadelphia with his mother, police detective John Book tries to protect the boy until an attempt on Book's life forces him into hiding in Amish country.",1985,112 min
Ying hung boon sik,"Action, Crime, Drama            ","A reforming ex-gangster tries to reconcile with his estranged policeman brother, but the ties to his former gang are difficult to break.",1986,95 min
Aliens,"Action, Adventure, Sci-Fi            ","Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",1986,137 min
Blue Velvet,"Crime, Drama, Mystery            ","The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.",1986,120 min
Down by Law,"Comedy, Crime, Drama            ","Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state.",1986,107 min
Ferris Bueller's Day Off,Comedy            ,"A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that.",1986,103 min
Henry: Portrait of a Serial Killer,"Biography, Crime, Drama            ","Arriving in Chicago, Henry moves in with ex-con acquaintance Otis and starts schooling him in the ways of the serial killer.",1986,83 min
Manhunter,"Crime, Mystery, Thriller            ","Former FBI profiler Will Graham returns to service to pursue a deranged serial killer dubbed ""the Tooth Fairy"" by the media.",1986,120 min
Mona Lisa,"Crime, Drama, Romance            ",A man recently released from prison manages to get a job driving a call girl from customer to customer.,1986,104 min
Something Wild,"Comedy, Crime, Romance            ","A free-spirited woman ""kidnaps"" a yuppie for a weekend of adventure. But the fun quickly takes a dangerous turn when her ex-convict husband shows up.",1986,114 min
Stand by Me,"Adventure, Drama            ","After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",1986,89 min
The Fly,"Drama, Horror, Sci-Fi            ",A brilliant but eccentric scientist begins to transform into a giant man/fly hybrid after one of his experiments goes horribly wrong.,1986,96 min
Ying hung boon sik II,"Action, Crime, Drama            ",A restauranteur teams up with a police officer and his ex-con brother to avenge the death of a friend's daughter.,1987,105 min
Sien lui yau wan,"Action, Fantasy, Horror            ","After a string of bad luck, a debt collector has no other choice than to spend the night in a haunted temple, where he encounters a ravishing female ghost and later battles to save her soul from the control of a wicked tree demon.",1987,98 min
Bad Taste,"Comedy, Horror, Sci-Fi            ",The population of a small town disappears and is replaced by aliens that chase human flesh for their intergalactic fast-food chain.,1987,91 min
Evil Dead II,"Comedy, Horror            ",The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.,1987,84 min
Full Metal Jacket,"Drama, War            ",A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,1987,116 min
Hellraiser,"Horror, Thriller            ","A woman discovers the newly resurrected, partially formed, body of her brother-in-law. She starts killing for him to revitalize his body so he can escape the demonic beings that are pursuing him after he escaped their sadistic underworld.",1987,94 min
House of Games,"Crime, Thriller            ","A psychiatrist comes to the aid of a compulsive gambler and is led by a smooth-talking grifter into the shadowy but compelling world of stings, scams, and con men.",1987,102 min
Innerspace,"Action, Adventure, Comedy            ","A test pilot is miniaturized in a secret experiment, and accidentally injected into a hapless store clerk.",1987,120 min
Near Dark,Horror            ,A small-town farmer's son reluctantly joins a traveling group of vampires after he is bitten by a beautiful drifter.,1987,94 min
"Planes, Trains & Automobiles","Comedy, Drama            ","A Chicago advertising man must struggle to travel home from New York for Thanksgiving, with a lovable oaf of a shower-curtain-ring salesman as his only companion.",1987,93 min
Prick Up Your Ears,"Biography, Drama            ","Biographer John Lahr is writing a book about playwright Joe Orton. Joe and Kenneth meet at drama school and live together for ten years as lovers and collaborators. Both want to be writers, but only one of them is successful.",1987,105 min
Raising Arizona,"Comedy, Crime            ","When a childless couple of an ex-con and an ex-cop decide to help themselves to one of another family's quintuplets, their lives become more complicated than they anticipated.",1987,94 min
RoboCop,"Action, Crime, Sci-Fi            ","In a dystopic and crime-ridden Detroit, a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories.",1987,102 min
Sign 'o' the Times,"Documentary, Music            ","Highlights from Prince's 1987 European concert tour, including selections from the rock star's album of the same title.",1987,85 min
The Hidden,"Horror, Sci-Fi, Thriller            ",A cop and an FBI agent race for answers after law abiding people suddenly become violent criminals.,1987,97 min
The Princess Bride,"Adventure, Family, Fantasy            ","While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",1987,98 min
The Untouchables,"Crime, Drama, Thriller            ","During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him.",1987,119 min
Throw Momma from the Train,"Comedy, Crime, Thriller            ",A bitter ex-husband wants his former spouse dead. A put-upon momma's boy wants his mother dead. Who will pull it off?,1987,88 min
Withnail & I,"Comedy, Drama            ","In 1969, two substance-abusing, unemployed actors retreat to the countryside for a holiday that proves disastrous.",1987,107 min
A Fish Called Wanda,"Comedy, Crime            ","In London, four very different people team up on a jewel heist, then try to double-cross one another for the loot, complicated by their efforts to fool a very proper barrister.",1988,108 min
Akira,"Animation, Action, Drama            ","A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.",1988,124 min
Beetle Juice,"Comedy, Fantasy            ","The spirits of a deceased couple are harassed by an unbearable family that has moved into their home, and hire a malicious spirit to drive them out.",1988,92 min
Dead Ringers,"Drama, Horror, Thriller            ","Twin gynecologists take full advantage of the fact that nobody can tell them apart, until their relationship begins to deteriorate over a woman.",1988,116 min
Die Hard,"Action, Thriller            ",A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,1988,132 min
Fei lung mang jeung,"Action, Comedy, Romance            ",Three successful Hong Kong lawyers are hired by a chemical company of questionable ethics and must eventually make a difficult decision when their employer's motives become clear.,1988,93 min
Ghosts... of the Civil Dead,"Crime, Drama            ",Prison gangs clash in a high-tech security jail where there are no rules.,1988,93 min
Hairspray,"Comedy, Drama, Family            ",A 'pleasantly plump' teenager teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.,1988,92 min
Heathers,"Comedy, Crime            ","At Westerburg High where cliques rule, jocks dominate and all the popular girls are named Heather, it's going to take a Veronica and mysterious new kid to give teen angst a body count.",1988,103 min
High Hopes,"Comedy, Drama            ",The life of a working class couple living in London and their complicated relationships with other members of the family.,1988,108 min
Midnight Run,"Action, Comedy, Crime            ","A bounty hunter pursues a former Mafia accountant who is also being chased by a rival bounty hunter, the F.B.I., and his old mob boss after jumping bail.",1988,126 min
The Decline of Western Civilization Part II: The Metal Years,"Documentary, Music            ","Documentary showcase, what life was like for the music artists living during the Los Angeles Heavy Metal scene in the mid and late 1980s.",1988,93 min
The Naked Gun: From the Files of Police Squad!,"Comedy, Crime            ",Incompetent police Detective Frank Drebin must foil an attempt to assassinate Queen Elizabeth II.,1988,85 min
Spoorloos,"Mystery, Thriller            ","Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor.",1988,107 min
Muzné hry,"Animation, Short, Comedy            ","A man sits down to watch a football match, which seems to consist of the players being violently mutilated in various inventive ways.",1988,14 min
Crimes and Misdemeanors,"Comedy, Drama            ",An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.,1989,104 min
Do the Right Thing,"Comedy, Drama            ","On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.",1989,120 min
Drugstore Cowboy,"Crime, Drama            ",A pharmacy-robbing dope fiend and his crew pop pills and evade the law.,1989,101 min
Santa Sangre,"Drama, Horror, Thriller            ","A former circus artist escapes from a mental hospital to rejoin his armless mother - the leader of a strange religious cult - and is forced to enact brutal murders in her name as he becomes ""her arms"".",1989,123 min
"The Cook, the Thief, His Wife & Her Lover","Crime, Drama            ","At Le Hollandais gourmet restaurant, every night is filled with opulence, decadence and gluttony. But when the cook, a thief, his wife and her lover all come together, they unleash a shocking torrent of sex, food, murder and revenge.",1989,124 min
Dip huet seung hung,"Action, Crime, Drama            ",A disillusioned assassin accepts one last hit in hopes of using his earnings to restore vision to a singer he accidentally blinded.,1989,111 min
"Sono otoko, kyôbô ni tsuki","Action, Crime, Drama            ",A violence prone police officer discovers that his colleague is trafficking drugs.,1989,103 min
Arachnophobia,"Comedy, Horror, Thriller            ",A species of South American killer spider hitches a lift to the U.S. in a coffin and starts to breed and kill.,1990,109 min
Goodfellas,"Biography, Crime, Drama            ","The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",1990,145 min
Gremlins 2: The New Batch,"Comedy, Fantasy, Horror            ","The Gremlins are back, and this time, they've taken control of a New York City media mogul's high-tech skyscraper.",1990,106 min
Nikita,"Action, Crime, Drama            ","Convicted felon, Nikita, isn't going to jail; she's given a new identity and trained, stylishly, as a top secret spy/assassin.",1990,117 min
Life Is Sweet,"Comedy, Drama            ","A shop assistant, her cook husband, and their twin daughters ponder their lives over a few weeks in a working-class suburb north of London.",1990,103 min
Miami Blues,"Comedy, Crime, Drama            ",An ex-con's first act of freedom is moving to Miami where he restarts his old criminal ways with even more potency.,1990,97 min
Miller's Crossing,"Crime, Drama, Thriller            ","Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.",1990,115 min
Misery,"Drama, Thriller            ","After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.",1990,107 min
Tremors,"Comedy, Horror            ",Natives of a small isolated town defend themselves against strange underground creatures which are killing them one by one.,1990,96 min
Trust,"Comedy, Crime, Drama            ","After being thrown out of her house, Maria encounters a married woman who complains of not having children. Maria ends up in an abandoned house, where she meets Matthew. When a baby is kidnapped Maria sets out to find the woman.",1990,107 min
Wild at Heart,"Comedy, Crime, Drama            ",Young lovers Sailor and Lula run from the variety of weirdos that Lula's mom has hired to kill Sailor.,1990,125 min
Barton Fink,"Comedy, Drama, Thriller            ",A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.,1991,116 min
Cape Fear,"Crime, Thriller            ","A convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him.",1991,128 min
Delicatessen,"Comedy, Crime            ",Post-apocalyptic surrealist black comedy about the landlord of an apartment building who occasionally prepares a delicacy for his odd tenants.,1991,99 min
Homicide,"Crime, Mystery, Thriller            ",A Jewish homicide detective investigates a seemingly minor murder and falls in with a Zionist group as a result.,1991,102 min
JFK,"Drama, History, Thriller            ",New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,1991,189 min
Johnny Suede,"Comedy, Drama, Music            ",A struggling young musician and devoted fan of Ricky Nelson wants to be just like his idol and become a rock star.,1991,97 min
